"drug","target"
"DB00368","BE0000501"
"DB00368","BE0000575"
"DB00368","BE0000694"
"DB00368","BE0000715"
"DB00368","BE0004674"
"DB00368","BE0000289"
"DB00368","BE0000342"
"DB00368","BE0000572"
"DB00368","BE0001012"
"DB00370","BE0000172"
"DB00370","BE0000486"
"DB00370","BE0000501"
"DB00370","BE0000533"
"DB00370","BE0000632"
"DB00370","BE0000647"
"DB00370","BE0000694"
"DB00370","BE0000749"
"DB00370","BE0000756"
"DB00370","BE0000289"
"DB00370","BE0000311"
"DB00370","BE0000342"
"DB00370","BE0000393"
"DB00370","BE0000442"
"DB00370","BE0000451"
"DB00370","BE0000581"
"DB00370","BE0000650"
"DB00370","BE0004889"
"DB00370","BE0000968"
"DB00373","BE0000172"
"DB00373","BE0000694"
"DB00373","BE0001248"
"DB00374","BE0001007"
"DB00374","BE0000110"
"DB00374","BE0000475"
"DB00376","BE0000045"
"DB00376","BE0000092"
"DB00376","BE0000560"
"DB00376","BE0000247"
"DB00376","BE0000405"
"DB00378","BE0000557"
"DB00379","BE0000197"
"DB00379","BE0003721"
"DB00381","BE0000267"
"DB00381","BE0000430"
"DB00381","BE0000691"
"DB00381","BE0002354"
"DB00381","BE0002355"
"DB00381","BE0002359"
"DB00381","BE0000973"
"DB00381","BE0002226"
"DB00381","BE0003563"
"DB00381","BE0003564"
"DB00384","BE0000024"
"DB00384","BE0000190"
"DB00384","BE0000495"
"DB00384","BE0000497"
"DB00387","BE0000045"
"DB00387","BE0000092"
"DB00387","BE0000560"
"DB00387","BE0000405"
"DB00393","BE0000430"
"DB00393","BE0002354"
"DB00393","BE0002355"
"DB00393","BE0002359"
"DB00393","BE0000303"
"DB00393","BE0000668"
"DB00393","BE0002356"
"DB00393","BE0002357"
"DB00393","BE0002358"
"DB00393","BE0003721"
"DB00394","BE0000794"
"DB00396","BE0000344"
"DB00396","BE0000632"
"DB00396","BE0000123"
"DB00396","BE0000557"
"DB00396","BE0000668"
"DB00398","BE0002131"
"DB00398","BE0000205"
"DB00398","BE0000023"
"DB00398","BE0000029"
"DB00398","BE0000036"
"DB00398","BE0000147"
"DB00398","BE0000369"
"DB00398","BE0000453"
"DB00398","BE0000634"
"DB00398","BE0002411"
"DB00401","BE0000430"
"DB00401","BE0000691"
"DB00401","BE0002354"
"DB00401","BE0002355"
"DB00401","BE0002359"
"DB00405","BE0000442"
"DB00408","BE0000045"
"DB00408","BE0000092"
"DB00408","BE0000172"
"DB00408","BE0000486"
"DB00408","BE0000501"
"DB00408","BE0000533"
"DB00408","BE0000560"
"DB00408","BE0000575"
"DB00408","BE0000647"
"DB00408","BE0000749"
"DB00408","BE0000756"
"DB00408","BE0000020"
"DB00408","BE0000145"
"DB00408","BE0000247"
"DB00408","BE0000289"
"DB00408","BE0000291"
"DB00408","BE0000311"
"DB00408","BE0000342"
"DB00408","BE0000389"
