"smiles","drug","drugs"
"OC1=CC=C(C=C1)C1=CC2=C(OC1)C=C(O)C=C2","DB04915","DB04915"
"CCS(=O)(=O)N[C@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@@H](CCC(N)=O)C(=O)NCC1=CC=C(C=C1)C(N)=N","DB04758","DB04758"
"CC(C)(C)C1=NN(C(NC(=O)NC2=C3C=CC=CC3=CC=C2)=C1)C1=CC=CC(N)=C1","DB06882","DB06882"
"CC=C(C(=CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1","DB00890","DB00890"
"OC(=O)C=C/C(O)=O.CN1CC2C(C1)C1=C(OC3=CC=CC=C23)C=CC(Cl)=C1","DB06216","DB06216"
"OC(=O)C1=CC(S)=CC=C1[N+]([O-])=O","DB02763","DB02763"
"N[C@@H](CC[C@@H]1C=C[C@H](N)C=C1)C(O)=O","DB02725","DB02725"
"NC(=N)c1ccc2nc(nc2c1)C(=O)c1nc2ccc(cc2n1)C(N)=N","DB01876","DB01876"
"CC(C)(C)C1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1","DB01958","DB01958"
"[H][C@@](N)(C(=O)N1CC[C@]([H])(F)C1)[C@]([H])(CC1CC1)[C@]1([H])N[C@]([H])(NO1)C1=CC=C(C=C1F)S(C)(=O)=O","DB06993","DB06993"
"BrC1=C2NCCCNS(=O)(=O)C3=CC=CC(NC(N=C1)=N2)=C3","DB08441","DB08441"
"CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](OC2=C(C)C3=C(C=C2)C(O)=C(NC(=O)C2=CC=C(O)C(CC=C(C)C)=C2)C(=O)O3)OC1(C)C","DB01051","DB01051"
"O=C1NC=NC2=C1C1=C(CCCC1)S2","DB08777","DB08777"
"CC(C)OC(=O)C1=C(Cl)C=CC(NC(=O)C2=C(C)OCCS2)=C1","DB08682","DB08682"
"CC1=CC(=CC2=C1N=C(N2)C1=C(NCC2=NC=CC=C2)C=CNC1=O)N1C=CN=C1","DB07474","DB07474"
"[NH3+]CCCCC(O)=O","DB02068","DB02068"
"CC1=C(CCO[P@](O)(=O)O[P@](O)([O-])=O)SC=[N+]1CC1=CN=C(C)N=C1N","DB01987","DB01987"
"NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1","DB02398","DB02398"
"CN(C)C(=O)OC1=CC(=CC(OC(=O)N(C)C)=C1)C(O)CNC(C)(C)C","DB01408","DB01408"
"COC1=C(C=NNC(=O)C2=CC(O)=C(O)C=C2)C2=CC=CC=C2C=C1","DB08034","DB08034"
"C[C@@H](NCC1=C(O)C(C)=NC=C1COP(O)(O)=O)P(O)(O)=O","DB03327","DB03327"
"[H][C@@]12C[C@@]3([H])C(C(=O)C4=C(O)C=CC=C4[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(=O)NCNCCCC[C@H](N)C(O)=O)=C(O)[C@H]2N(C)C","DB00256","DB00256"
"CCS(=O)(=O)C1=CC=C(OC)C(NC2=NC=C(O2)C2=CC=CC(=C2)C2=CC=CC=N2)=C1","DB07334","DB07334"
"COC1=C(CC=C(/C)CCC(=O)OCCN2CCOCC2)C(O)=C2C(=O)OCC2=C1C","DB00688","DB00688"
"OC(=O)C(CC(=O)N1CC2CCCCC2C1)CC1=CC=CC=C1","DB01252","DB01252"
"NC(O)=O","DB04261","DB04261"
"OC(=O)CCCCCCCCCCCBr","DB02405","DB02405"
"[H][C@@]1(CO[C@]2([H])[C@@]([H])(CO[C@]12[H])OC1=CC=CC(=C1)C(N)=N)OC1=CC=C(C=C1)C(N)=N","DB04791","DB04791"
"COC1=CC=C2N(C(=O)C3=CC=C(I)C=C3)C(C)=C(CC(O)=O)C2=C1","DB07983","DB07983"
"CN(C)N=NC1=C(N=CN1)C(N)=O","DB00851","DB00851"
"CC1=C2C(=CC=C1)N=C1N(CC[C@@]1(O)C2=O)C1=CC=CC=C1","DB07468","DB07468"
"[H][C@]12C[C@](O)(C(=O)OC)[C@](C)(O1)N1C3=C(C=CC=C3)C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13","DB02152","DB02152"
"[H][C@@]1(C#N)C2=C(N(C)C3=C(Cl)C(Cl)=CC=C23)C(=O)NC11CCN(C)CC1","DB07242","DB07242"
"OC[C@H]1O[C@@H](O[P@](O)(=O)O[P@@](O)(=O)OC[C@@H]2O[C@H]([C@H](O)[C@H]2O)N2C=CC(=O)NC2=O)[C@H](F)[C@@H](O)[C@@H]1O","DB02976","DB02976|DB03488"
"[H][C@@](CC1=CC=CC(=C1)C(O)=O)(NC(=O)CC1=CC=CC=C1)B(O)O","DB07466","DB07466"
"OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](F)[C@H]([O-])O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O","DB01633","DB01633"
"[H][C@@]1(CN(CCN1S(=O)(=O)C1=CC=C(OC)C=C1)C(=O)OCC1=CC=CC=C1)C(=O)NO","DB04232","DB04232"
"OC1=CC=C2[C@H](N(CCC2=C1)C1=CC=CC=C1)C1=CC=C(OCCN2CCCCC2)C=C1","DB04471","DB04471"
"CC(=O)OC1=CC=CC=C1C(=O)NC1=NC=C(S1)[N+]([O-])=O","DB00507","DB00507"
"[H][C@@]12CC=C(C3=CC=CN=C3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C","DB05812","DB05812"
"CCOCCC1(OC2=CC=C(OC3=CC=C(F)C=C3)C=C2)C(=O)NC(=O)NC1=O","DB08388","DB08388"
"N[C@@H](CCCNC(N)=[NH2+])C(O)=O","DB04027","DB04027"
"[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@@](CC)([C@@H](OC(C)=O)[C@@]2(O)C(=O)OC)[C@@]13[H])[C@]1(C[C@@]2([H])CN(CC(CC)=C2)CC2=C1NC1=CC=CC=C21)C(=O)OC","DB00361","DB00361"
"N[C@@H](CC1=CC=C(O)C(=C1)[N+]([O-])=O)C(O)=O","DB03867","DB03867"
"[O-]S(=O)(=O)C1=CC2=C(C=C1)C(=CC(=C2)S([O-])(=O)=O)S([O-])(=O)=O","DB04409","DB04409"
"CCCC(=O)NC1=CC(C(C)=O)=C(OCC(O)CNC(C)C)C=C1","DB01193","DB01193"
"BrC1=CC=C(C=CCNCCNS(=O)(=O)C2=CC=CC3=C2C=CN=C3)C=C1","DB07995","DB07995"
"[H][C@@](O)(CC(=O)CCCCC(O)=O)C=C/CC=C/CCCCC","DB07209","DB07209"
"CC(C)N(C(=O)C1=CC=C(C)C=C1)C1=C(SC(=C1)C1=CC=CC=C1)C(O)=O","DB03647","DB03647"
"CN(C)CCC[C@]1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1","DB01175","DB01175"
"[H][C@@](C)(NC(=O)CN)C(=O)N1CCC[C@@]1([H])C(=O)NC1=CC=C2C=CC=CC2=C1","DB07813","DB07813"
"[H][C@@]1(COC(=O)CC2=CC(Cl)=CC=C2)CCCN1C(=O)CNC(=O)OC(C)(C)C","DB08152","DB08152"
"OC[C@H](O)[C@@H](O)[C@H](O)CO","DB01904","DB01904"
"[H][C@]12COC(=N/CCCCCCCC)N1[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)[C@]2([H])O","DB08090","DB08090"
"CC1=CC=CC=C1CNC(=O)[C@H]1N(CSC1(C)C)C(=O)[C@@H](O)[C@@H](CC1=CC=CC=C1)NC(=O)C1=CC=CC(O)=C1C","DB02668","DB02668"
"[H][C@](CC(O)=O)(CC1=CC=CC2=CC=CC=C12)N1C(=O)C2=CC=C(C=C2C1=O)C(O)=O","DB08731","DB08731"
"NC1=CC=CC=C1O","DB01726","DB01726"
"[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC","DB00248","DB00248"
"[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N=[N+]=[N-])C1=CC=CC=C1)C(O)=O","DB08795","DB08795"
"CC1=CC2=C(N1)C=CC=C2OCC(CNC(C)(C)C)OC(=O)C1=CC=CC=C1","DB08807","DB08807"
"COC1=CC=C(C=C1)C(=O)NC1=CC=CC=C1CCC1CCCCN1C","DB01228","DB01228"
"CCCCCCCCC=C/CCCCCCCC(=O)OC[C@@H](COP(O)(O)=O)OC(=O)CCCCCCCC=C/CCCCCC","DB04752","DB04752"
"[I-].[I-].[I-].CC[N+](CC)(CC)CCOC1=CC=CC(OCC[N+](CC)(CC)CC)=C1OCC[N+](CC)(CC)CC","DB00483","DB00483"
"[H][C@](CC(C)C)(NS(=O)(=O)C1=CC=C(C=C1)C1=CC=CC=C1)C(O)=O","DB07446","DB07446"
"NC(=N)C1=CC=C(CO)C=C1","DB02585","DB02585"
"[H][C@](N)(C(C)C)C(=O)N1CCCC1","DB01884","DB01884"
"[Cl-].CC(C)OC1=CC=CC(CC(=O)N2CCC[C@](CC[N+]34CCC(CC3)(CC4)C3=CC=CC=C3)(C2)C2=CC(Cl)=C(Cl)C=C2)=C1","DB05790","DB05790"
"CCOC1=C(OCC)C=C(C=C2/NCCC3=CC(OCC)=C(OCC)C=C23)C=C1","DB06751","DB06751"
"NC1N=C2C=CC=CC2=N1","DB01665","DB01665"
"O=C(OCC1=CC=CC=C1)C1=CN2C(S1)=CC(=O)N(CC1=CC=CC=C1)C2=O","DB08561","DB08561"
"[H][C@@]1(CCC2=C(C(OC)=C(OC)C(OC)=C2)C2=CC=C(OC)C(=O)C=C12)NC(=O)CS","DB07574","DB07574"
"[H][C@]1(CO)O[C@@]([H])(SCCCCCCC)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O","DB04450","DB04450"
"CC1O[C@@]2(CS1)CN1CCC2CC1","DB00185","DB00185"
"[H][C@@](CCC(O)=O)(NC(=O)C1=CC=C(C=C1)S(=O)(=O)N1CCC[C@]1([H])C(O)=O)C(O)=O","DB04503","DB04503"
"OC[C@H]1O[C@@H]([C@H](O)[C@@H]1OP(O)(=O)O[C@]([H])(C)CNC(=O)CC[C@]1(C)[C@@H](CC(=O)N)[C@@]2([H])N([Co]C#N)C1=C(C)/C1=N/C(=CC3=NC(=C(C)/C4=N[C@]2(C)[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)N)[C@@](C)(CC(=O)N)[C@@H]3CCC(=O)N)/C(C)(C)[C@@H]1CCC(=O)N)N1C=NC2=CC(C)=C(C)C=C12","DB00115","DB00115"
"COC1=CN=CC(=C1)C1=CC(CNC2=CC=CN=C2N)=CC=C1","DB07303","DB07303"
"NCc1cnc2N=C(N)NC(=O)c12","DB03304","DB03304"
"CC1=CC=C(NC2=C(Cl)C=CC=C2F)C(CC(O)=O)=C1","DB01283","DB01283"
"CC(C)NCC(O)COC1=CC=C(NC(C)=O)C=C1","DB01297","DB01297"
"N[C@@H](CCSC[C@@H]1O[C@H]([C@H](O)[C@H]1O)N1C=NC2=C1N=CN=C2N)C(O)=O","DB01752","DB01752"
"[Cl-].NC(N)=N[NH3+]","DB05383","DB05383"
"N[C@@H](CSCC1=CC=CC=C1)C(O)=O","DB04531","DB04531"
"NS(=O)(=O)C1=C2C=CC=C(O)C2=CC=C1","DB08132","DB08132"
"COC1=CC=C(CCC2=C3N=CNC3=CC3=C2N=C(N)NC3=O)C=C1","DB07704","DB07704"
"C[N+]1=C(N)C=CNC1=O","DB04103","DB04103"
"CCC(=O)[C@@]1(C)[C@H](C)CC2C3CCC4=CC(=O)C=C[C@]4(C)C3[C@@H](O)C[C@]12C","DB00896","DB00896"
"CCOC(=O)N1CCC(CC1)NC1=NC=CC(Cl)=C1","DB07306","DB07306"
"CC1(C)N=C(N)N=C(N)N1OCCCOC1=CC=C(Br)C=C1","DB04007","DB04007"
"C[C@@H](NC(=O)CCCC[C@@H](NC(=O)C[NH3+])C([O-])=O)C(O)=O","DB03927","DB03927"
"OC[C@H]1C[C@@H](SC(=N/OS(O)(=O)=O)CC2=CC=CC=C2)[C@H](O)[C@@H](O)[C@@H]1O","DB04659","DB04659"
"CCC(C)SSC1=NC=CN1","DB05448","DB05448"
"CCCCCCCCCCCCCC(O)=O","DB08231","DB08231"
"CC(C)(OC1=CC=C(CCNC(=O)C2=CC=C(Cl)C=C2)C=C1)C(O)=O","DB01393","DB01393"
"CC(=O)N[C@H]1CCCN2O[Fe]345(ON(CCC[C@@H]6NC(=O)[C@H](CCCN(O3)C(C=C(C)/CCOC1=O)=[O]4)NC6=O)C(C=C(C)CCO)=[O]5)[O]=C2C=C(/C)CCO","DB01747","DB01747"
"OC1=CC=C2C=CC=CC2=C1O","DB07610","DB07610"
"OP(O)(=O)OCCCC1=CNC2=C1C=CC=C2","DB03171","DB03171"
"O[C@H]1[C@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@@H]1OP(O)(O)=O","DB03344","DB03344"
"OC1=CC(O)=C(Cl)C=C1C1=NOC2=C1C=C(NCCN1CCOCC1)C=C2","DB07601","DB07601"
"N[C@@H](CCCNC(N)=[NH2+])C(N)=O","DB02299","DB02299"
"ClC1=CC(Cl)=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1","DB01110","DB01110"
"N[C@@H]([C@@H](O)C(O)=O)C(O)=O","DB03640","DB03640"
"[Cl-].C[N+](C)(C)CCOC(N)=O","DB00411","DB00411"
"OC1=CC(O)=C2C(CC(=O)CCCC=CCCOC2=O)=C1Cl","DB08293","DB08293"
"OC(=O)C1=CON=C1O","DB02111","DB02111"
"CCN1C(=O)CCC1=O","DB01902","DB01902"
"CC(C)(C)C1=NNC(NC(=O)NC2=CC=C(Cl)C(COC3=CC=CN=C3)=C2)=C1","DB08064","DB08064"
"[H][C@@]1(O)C[C@]([H])(O[C@@]1([H])CN1CCCC1)N1C=C(C)C(=O)NC1=O","DB08661","DB08661"
"NS(=O)(=O)C1=CC2=C(CCNC2)C=C1","DB03468","DB03468"
"ClC1=CC=C2OC(NS(=O)(=O)C3=CC(Cl)=CC=C3Cl)=NC2=C1","DB07312","DB07312"
"CCC1(CC)C(=O)NCC(C)C1=O","DB01107","DB01107"
"OC1=CC=C(C=C1)C(=O)C1=CC=C(O)C=C1","DB07635","DB07635"
"NC(=O)C1=CC(=CC(=C1)C1=CC=C(C=C1)C1=CC=CC=C1)C(O)=O","DB04583","DB04583"
"[H][C@@]1(C)CCN(C[C@]1([H])N(C)C1=NC=NC2=C1C=CN2)C(=O)CC#N","DB08183","DB08183"
"COC1=CC2=NC=NC(NC3=CC(O)=CC=C3)=C2C=C1OC","DB03365","DB03365"
"CCCCCCCCCCC[N+](C)(C)[O-]","DB07646","DB07646"
"OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@H]1O","DB02317","DB02317"
"[O-]C(=O)c1cccn1","DB02543","DB02543"
"NC1=CC(=NC(N)=[N+]1[O-])N1CCCCC1","DB00350","DB00350"
"[Na+].[H][C@]12C[C@@H](O)[C@H](C=C[C@@H](O)C(C)CC#CC)[C@@]1([H])C1=CC=CC(CCCC([O-])=O)=C1O2","DB05229","DB05229"
"CCC1=NN(CCCN2CCN(CC2)C2=CC(Cl)=CC=C2)C(=O)N1CCOC1=CC=CC=C1","DB01149","DB01149"
"NC(=[NH2+])C1=CC2=C(C=C1)N=C(N2)C1=CC=CC=C1O","DB02287","DB02287"
"[H][C@](CO)(NC(=O)C1=CC(=CN1)C1=NNC=C1C1=CC=CC(Cl)=C1)C1=CC(Cl)=C(F)C=C1","DB07264","DB07264"
"NCCCC[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O","DB00722","DB00722"
"OC(=O)C[C@@H]([C@@H](O[Ca])C(O)=O)C(O)=O","DB01848","DB01848"
"O=C1NC2=C(NC=N2)C(=O)N1","DB02134","DB02134"
"OC1=CC=C(C=CC2=CC(O)=CC(O)=C2)C=C1","DB02709","DB02709"
"NC1=NC(O)=C2C=C(C[C@@H](C(O)=O)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)C=CC2=N1","DB04264","DB04264"
"CC#CCOC1=CC=C(C=C1)S(=O)(=O)CCCS","DB07079","DB07079"
"CC[Si](C)(C)C","DB02265","DB02265"
"C[C@@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CCCCN","DB01255","DB01255"
"NCCCCCCN","DB03260","DB03260"
"CC1=C(NC(=O)C2=CC(NC(=O)NC3=CC=CC(=C3)C(=O)NC3=C(C)C=CC(=C3)C(=O)NC3=C4C(C=C(C=C4S(O)(=O)=O)S(O)(=O)=O)=C(C=C3)S(O)(=O)=O)=CC=C2)C=C(C=C1)C(=O)NC1=C2C(C=C(C=C2S(O)(=O)=O)S(O)(=O)=O)=C(C=C1)S(O)(=O)=O","DB04786","DB04786"
"OC[C@@H]1O[C@H](OCC[C@@H]2CO2)[C@@H](O)[C@H](O)[C@H]1O","DB02645","DB02645"
"COC1=CC=CC(=C1)C1=NC2=C(N1)C=CC=C2C(N)=O","DB04010","DB04010"
"OC(=O)CCCOC1=CC=C(NC(=O)NC(=O)C2=CC=C(Cl)C=C2Cl)C(Cl)=C1","DB04643","DB04643"
"[H][C@@]12CC=C[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@]([H])(O)CC[C@]12C","DB01889","DB01889"
"CCCCB(O)O","DB02664","DB02664"
"CCCCCCCCSCC(=O)C(F)(F)F","DB08612","DB08612"
"O[C@@H]1CC[C@@]2(C)[C@@]([H])(CC[C@@]3(C)[C@@]2([H])[C@H](O)C[C@@]2([H])C([C@@H](OC(=O)C)C[C@]32C)=C(/CCC=C(C)C)C(O)=O)[C@@H]1C","DB02703","DB02703"
"CC1=C(C=CO1)C(=S)NC1=CC(C=NOC(C)(C)C)=C(Cl)C=C1","DB08680","DB08680"
"NC1=NC2=C(N=CN2[C@H]2O[C@H](CO)C[C@@H]2O)C(=O)N1","DB03609","DB03609"
"OC[C@H]1OC(=O)[C@@H](O)[C@@H](O)[C@@H]1O","DB01885","DB01885"
"[H][C@](O)(CNC1CCCCC1)CN1C2=C(CCCC2)C2=C1C=CC(C)=C2","DB07061","DB07061"
"N[C@@H](CCCNC(=N)N[C@H](CC(O)=O)C(O)=O)C(O)=O","DB02267","DB02267"
"NCC1CCN(CC(=O)NC2=CC=CC3=C2C(=O)C2=C(NN=C32)C2CCCCC2)CC1","DB07618","DB07618"
"[H][C@](O)(C(=O)NCCC(=O)NCCSC(=O)CCCCCC)C(C)(C)CO[P@]([H])(O)=O","DB08405","DB08405"
"CCNC1C2CCC(C2)C1C1=CC=CC=C1","DB01463","DB01463"
"[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3","DB00655","DB00655"
"CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12","DB00224","DB00224"
"FC1=CC=C(NC(=O)C2=NNC=C2NC(=O)C2=C(F)C=CC=C2F)C=C1","DB08138","DB08138"
"NC1=NC2=C(N=CN2[C@H]2O[C@@H]3CO[P@](O)(=O)O[C@@H]3[C@@H]2O)C(=O)N1","DB02315","DB02315"
"CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](CO[P@](O)(=O)OCC[NH3+])OC(=O)CCCCCCCCCCCCCCCCC","DB04327","DB04327"
"CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1","DB01075","DB01075"
"CCC(=C(C1=CC=C(O)C=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1","DB04468","DB04468"
"NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H](CO)[C@H](O)[C@H]1O","DB03528","DB03528"
"ON=C1C(NC2=C1C=CC=C2)=C1C(=O)NC2=C1C=CC=C2","DB02052","DB02052"
"FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=CC=CC=C12","DB00450","DB00450"
"C[N+](C)(C)CC(O)=O","DB04455","DB04455"
"N[C@@H](CO[V](O)([O-])([O-])[O-])C(O)=O","DB04031","DB04031"
"OC(=O)C1=CC=C(Cl)C=C1","DB03728","DB03728"
"[H][C@](O)(CN)C1=CC=CC(=C1)C(F)(F)F","DB08129","DB08129"
"CC(=O)NC1=CC=C(C=C1NC(=O)C[NH3+])C(O)=O","DB02829","DB02829"
"CCOC1=CC=C(OCC)C(NC(=O)C2=CC(C)=C(OCCN)C(C)=C2)=C1","DB07625","DB07625"
"CC(=O)N=C1NC(C)=C(S1)C1=CC(=C(Cl)C=C1)S(=O)(=O)NCCO","DB06836","DB06836"
"CN1C=C([C@H]2C[C@@H](O)[C@H](CO)O2)C(=O)NC1=O","DB03763","DB03763"
"[H][C@@](C)(NC1=CC2=C(ON=C2C2=CC(Cl)=CC(CCCO)=C2)C=N1)C1=CC=CC=C1","DB06897","DB06897"
"[H][C@]1(CCN2C=C(C3=C2C=CC=C3)C2=C(C(=O)NC2=O)C2=CNC3=C2C=CC=C3)CCCN1C","DB07456","DB07456"
"O=C(NCC1=NC=CC=C1)C1=CC=C(OC2=CC=CC=C2)C=C1","DB07459","DB07459"
"OC(=O)C1=CC=C(NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)C2=CC=CC=C2)C=C1","DB00522","DB00522"
"CCOC(=O)C1=C(C)N(N=C1C)C1=CC=C(OC)C=C1","DB04469","DB04469"
"CCCCCCCCCCCCCCCC(=O)OC[C@@H](CO[P@](=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCC=CCCCCC","DB02306","DB02306"
"CC1=CN([C@H]2C[C@@H](O)[C@H](CO[P@](O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O","DB03103","DB03103"
"OC(=O)C1=CC2=CC=C(C=C2C=C1)C(O)=O","DB08262","DB08262"
"OCC(Br)=C","DB04320","DB04320"
"COC1=CC2=NC=CC(OCC3=NN=C4C=CC(=NN34)C3=CC=CC=C3)=C2C=C1","DB08079","DB08079"
"CCCCN1C(CC2=CC(OC)=CC=C2OC)=NC2=C(N)N=CN=C12","DB02359","DB02359"
"CN(C)CCCN1C2=CC=CC=C2SC2=CC=CC=C12","DB00420","DB00420"
"O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C(N[C@@H](CC(O)=O)C(O)=O)N=CN=C12","DB04418","DB04418"
"OC[C@@H]1O[C@](CO)(O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O","DB02772","DB02772"
"NC1=NC2=CC=CC=C2C(=O)N1","DB03780","DB03780"
"CCCC[C@@H](CNNC[C@@H](CCCC)C(=O)N[C@@H](CCCCN)C(=O)NC1=CC=CC=C1)C(=O)N[C@H](CCCCN)C(=O)NC1=CC=CC=C1","DB03648","DB03648"
"O[C@@H]1[C@@H](O)[C@@](O)(COP(O)(O)=O)O[C@@H]1COP(O)(O)=O","DB04551","DB04551"
"CCS(O)(=O)=O","DB03635","DB03635"
"NC1=NC(=O)N(C=C1)[C@H]1C[C@@H](O)[C@H](CO[P@@](O)(=O)O[P@](O)(=O)OP(O)(O)=O)O1","DB03258","DB03258"
"[O-]S(=O)(=O)CC[NH+]1CCOCC1","DB03814","DB03814"
"CN(C)CCC=C1C2=CC=CC=C2C=CC2=CC=CC=C12","DB00924","DB00924"
"[H][C@]12O[C@]([H])(C(=C1C1=CC=C(O)C=C1)C1=CC=C(O)C=C1)[C@]([H])(C(=O)OCC)[C@]2([H])C(=O)OCC","DB08320","DB08320"
"NS(=O)(=O)C1=CC=C(NC2=NC(Cl)=CN=C2)C=C1","DB08134","DB08134"
"[H][C@@]12CCCN1C(=O)[C@]([H])(CC1=CC=C(O)C=C1)NC2=O","DB04520","DB04520"
"COC1=CC=C2C=CC(=CC2=C1C1=CN(N=C1)S(C)(=O)=O)C(N)=N","DB03046","DB03046"
"NC(=O)NC(NC(N)=O)C([O-])=O","DB04380","DB04380"
"C1=CN(C=N1)[Ru++]123n4ccccc4-c4ccccn14.c1ccn2c(c1)-c1ccccn31","DB02003","DB02003|DB03871"
"CN(C1=CC=C(C=C1)C(=O)NO)S(=O)(=O)C1=CC=C(S1)C1=NC=CC=C1","DB02917","DB02917"
"[H][C@](OCC[As+](C)(C)C)(C1=CC=CC=C1[N+](O)=O)C(F)(F)F","DB07555","DB07555"
"NC(=[NH2+])C1=CC=C(COB2OCCO2)C=C1","DB04109","DB04109"
"COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1","DB00622","DB00622"
"CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O","DB02351","DB02351"
"NC1=NC2=C(N=CN2[C@@H]2O[C@@H](CO[P@](O)(=O)OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@H]2O)C(=O)N1","DB04121","DB04121"
"C=O","DB03843","DB03843"
"CC1=CC=C2C(=C1)N=C1N(CC[C@@]1(O)C2=O)C1=CC=CC=C1","DB07469","DB07469"
"CN1CCN(CC1)C(=O)O[C@@H]1N(C(=O)C2=NC=CN=C12)C1=NC=C(Cl)C=C1","DB00402","DB00402"
"CCN1C2=CC(=CC=C2N(C)C(=O)C2=C1N=CC=C2)[N+]([O-])=O","DB08665","DB08665"
"[H][C@](C)(CNC(=O)C1=CC=C(C=C1)S(N)(=O)=O)CN1C=CC2=CC=CC=C12","DB03950","DB03950"
"CC(=O)N[C@H]1[C@H](O)C[C@@](O[P@](O)(=O)OC[C@@H]2O[C@H]([C@H](O)[C@H]2O)N2C=CC(N)=NC2=O)(O[C@@H]1[C@@H](O)[C@H](O)CO)C(O)=O","DB02485","DB02485"
"OCCCCN1C=NC2=C1N=C(NC1=CC=CC=C1)NC2=O","DB02495","DB02495"
"OCC1=C(O)C=CC(=C1)C(O)CNCCCCCCOCCCCC1=CC=CC=C1","DB00938","DB00938"
"C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1","DB01090","DB01090"
"CN1N=C(C=C1NS(O)(=O)=O)C1=CC=CC=C1","DB04800","DB04800"
"CN(C)CCCOC1=CC(=O)SC2=CC=CC=C12","DB02462","DB02462"
"[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(=O)C1=CNC3=C1C=CC=N3)N2C","DB07243","DB07243"
"CC(C)C[C@@H](NC(=O)OCC1=CC=CC=C1)C(=O)NNC(=O)NNC(=O)[C@@H](CC(C)C)NC(=O)OCC1=CC=CC=C1","DB03891","DB03891"
"CNCCCN1C2=CC=CC=C2CCC2=CC=CC=C12","DB01151","DB01151"
"[H][C@]1(CCCN1C(=O)CNC1CCCCC1)C(=O)NCC1=CC=C(C=C1)C(N)=N","DB06850","DB06850"
