"smiles","drug","drugs"
"NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H](CO[P@@](O)(=O)C[P@](O)(=O)OP(O)(O)=O)[C@H](O)[C@H]1O","DB02596","DB02596"
"Nc1nc(OC[C@H]2CCC(=O)N2)c2ncnc2n1","DB02898","DB02898"
"[H][C@]1(C)CC2=CC=CC=C2N1NC(=O)C1=CC=C(Cl)C(=C1)S(N)(=O)=O","DB07467","DB07467"
"CCCCCCCCCCCCCCCC(=O)SCCNC(C)=O","DB02990","DB02990"
"CC(C)(C)C(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C","DB01134","DB01134"
"COC1=CC(OC)=C(NC(=O)NC2=NC=C(N=C2)C#N)C=C1Cl","DB07314","DB07314"
"NCCCCNC(=O)C1=CC=C(C=C1)S(N)(=O)=O","DB03697","DB03697"
"NC(=[NH2+])C1=CC2=C(C=C1)N=CN2","DB01939","DB01939"
"[H][C@](N)(CCC1=CC=CC=C1)CCS(=O)(=O)C1=CC=CC=C1","DB02869","DB02869"
"NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H](CO[P@@](O)(=O)O[P@@](O)(=O)C[As](O)(O)O)[C@H](O)[C@H]1O","DB02937","DB02937"
"[H][C@@](C)(N)[P@@](O)(=O)C[C@@]([H])(CC1=CC=CC=C1)C(=O)N[C@@]([H])(CC1=CC=CC=C1)C(O)=O","DB08506","DB08506"
"CCOC1=C(OCC)C=C(C=C1)C1=NC(=CS1)C1=NC(=CC=C1)C(O)=O","DB05298","DB05298"
"FC(F)OC1=C(OCC2CC2)C=C(C=C1)C(=O)NC1=C(Cl)C=NC=C1Cl","DB01656","DB01656"
"[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=C(Cl)C=CC=C1Cl)C(O)=O","DB00485","DB00485"
"[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@]([H])(F)C5=CC(=O)CC[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO","DB00846","DB00846"
"OP(=O)(OC1=CC=C(C=C1)[N+]([O-])=O)OC1=CC=C(C=C1)[N+]([O-])=O","DB07418","DB07418"
"[H][C@@]12C[C@]1([H])[C@@]1([H])[C@]3([H])[C@]4([H])C[C@]4([H])[C@@]4(CCC(=O)O4)[C@@]3(C)CC[C@]1([H])[C@@]1(C)CCC(=O)C=C21","DB01395","DB01395"
"CC1=NC=C(COP(O)(O)=O)C(CNC(C)(C)C(O)=O)=C1O","DB04241","DB04241"
"CCCCCCCC1=[N+]([O-])C2=CC=CC=C2C(O)=C1","DB07918","DB07918"
"CNS(=O)(=O)C1=CC=C(C=C1)C1=CC=C(O1)C=C1/SC(=N)NC1=O","DB07533","DB07533"
"CCOC(=O)CC[C@@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)C1=NOC(C)=C1)C(C)C)CC1=CC=C(F)C=C1","DB02313","DB02313"
"[NH3+]CCCC1=CC=CC=C1","DB04410","DB04410"
"CSCC[C@@H](N)C(=O)NS(=O)(=O)OC[C@@H]1O[C@H]([C@H](O)[C@H]1O)N1C=NC2=C(N)NC=N[C@@H]12","DB02229","DB02229"
