"smiles","drug_id"
"NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H](CO[P@](O)(=O)O[P@@](O)(=O)OP(O)(=O)O[P@](O)(=O)O[P@@](O)(=O)OC[C@@H]2O[C@H]([C@H](O)[C@H]2O)N2C=NC3=C2N=CN=C3N)[C@H](O)[C@H]1O","DB01717"
"CCCCCCCCCCCCCCCC[N+](C)(C)C","DB01718"
"OC[C@@H]1O[C@H](S[C@H]2[C@H](O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]3CO)S[C@H]3[C@H](O)[C@@H](O)[C@H](O[C@H]4[C@H](O)[C@@H](O)[C@H](S)O[C@H]4CO)O[C@H]3CO)O[C@H]2CO)[C@@H](O)[C@H](O)[C@H]1O","DB01719"
"OC(=O)C(NC(=O)C1=CC=CC=C1)=CC1=CC=C(OC2=CC=CC=C2Br)C=C1","DB01720"
"C[C@@H]([C@@H](C[C@@H](O)CN1CCN(CC2=CC=C3OCOC3=C2)C[C@@H]1C(=O)NC(C)(C)C)C(=O)N[C@H]1[C@H](O)CC2=CC=CC=C12)C1=CC=CC=C1","DB01721"
"CCC1=CC=CC=C1","DB01722"
"CC[C@H](C(=O)N1CCCC[C@@H]1C(=O)O[C@@H](CCC1=CC=C(OC)C(OC)=C1)C1=CC=CC(OCC(O)=O)=C1)C1=CC(OC)=C(OC)C(OC)=C1","DB01723"
"NC(=[NH2+])c1ccc2nc(nc2c1)C1=CC=CC(C2=CC=CC=C2)=C1[O-]","DB01725"
"NC1=CC=CC=C1O","DB01726"
"O[C@@H]([C@H](CC(O)=O)C(O)=O)C(O)=O","DB01727"
"CCCCCCCCCCCCCCCC(=O)OC[C@@H](CO[P@](O)(=O)OCCN)OC(=O)CCCCCCCCCCCCCCC","DB01728"
"[H][C@](O)(CN(C)C)CN1C2=CC=C(Br)C=C2C2=C1C=CC(Br)=C2","DB01731"
"O[C@@H]1[C@@H](O)[C@@H](COC2=CC=CC=C2)N(CC2=CC=CC=C2)C(=O)N(CC2=CC=CC=C2)[C@H]1COC1=CC=CC=C1","DB01732"
"C[C@@H](OP(O)(O)=O)C(O)=O","DB01733"
"OC(=O)C(=O)NC1=CC2=C(C=CC=C2)C=C1C(O)=O","DB01734"
"[NH3+][C@H](CCl)C([O-])=O","DB01735"
"CCCCCCCCCCCC(=O)NCCC[N+](C)(C)[O-]","DB01736"
"[H][C@@](CC1=CC=CC(=C1)C(N)=N)(NC(=O)CNS(=O)(=O)C1=CC=C(C)C=C1)C(=O)OC","DB01737"
"NCCCOP(O)(O)=O","DB01738"
"NC(=[NH2+])C1=CC=C2NC(=NC2=C1)C1=CC(=CC(=C1[O-])C1=C(F)C=CC=C1)[C@@H](CC([O-])=O)C([O-])=O","DB01741"
"C[C@@H]1CCCN(C1)C(C)=O","DB01742"
"C[C@@H](O)[C@H]1NC(=O)[C@H](NC(=O)[C@@H](CCCN(O)C=O)NC(=O)[C@@H](CCCCNC1=O)NC(=O)[C@@H](CCCN(O)C=O)NC(=O)[C@H](CO)NC(=O)[C@@H](CCCNC(N)=N)NC(=O)[C@H](CO)NC(=O)[C@H]1CCN[C@H]2N1C1=CC(O)=C(O)C=C1C=C2NC(=O)CCC(O)=O)[C@@H](C)O","DB01743"
"CC1(C)[C@H]2CC[C@]1(C)C(=O)C2","DB01744"
"COC(=O)C1CCN(CC1)C(=O)[C@H](CC1=CC=CC(=C1)C(N)=N)NS(=O)(=O)C1=CC=C2C=CC=CC2=C1","DB01745"
"CC(=O)N[C@H]1CCCN2O[Fe]345(ON(CCC[C@@H]6NC(=O)[C@H](CCCN(O3)C(C=C(C)/CCOC1=O)=[O]4)NC6=O)C(C=C(C)CCO)=[O]5)[O]=C2C=C(/C)CCO","DB01747"
